t_trade_epoch,current_close,next_close,predicted_close,actual_change,predicted_change,same_direction,predicted_percentage_change,action_recommendation,portfolio_value,action_taken,portfolio_return
1668500100,397.6418013283418,397.2038369422884,397.59326423115147,-0.4379643860534088,-0.0485370971903194,True,-0.012206236122102572,HOLD,10000.0,HOLD,0.0
1668501000,397.4526803434552,397.6418013283418,400.73261381304883,0.18912098488658557,3.2799334695936295,True,0.8252387345228882,BUY,10000.0,BUY,0.0
1668501900,400.2496801725688,397.4526803434552,400.63166376413625,-2.796999829113588,0.38198359156746164,False,0.09543632649569347,HOLD,10070.373153017777,HOLD,0.007037315301777758
1668502800,400.56819972606223,400.2496801725688,399.75672785743495,-0.3185195534934451,-0.8114718686272795,True,-0.20258020211844655,HOLD,10078.38717756073,HOLD,0.0007958021436922369
1668503700,399.6225948016288,400.56819972606223,399.3967739027686,0.9456049244334395,-0.2258208988602064,False,-0.05650854125810956,HOLD,10054.595542198847,HOLD,-0.002360658996595544
1668504600,399.25430656790206,399.6225948016288,399.34324086139213,0.36828823372673014,0.08893429349006965,True,0.02227509936074901,HOLD,10045.32932632106,HOLD,-0.0009215901165687823
1668505500,399.2045378876687,399.25430656790206,399.9028593261641,0.04976868023334191,0.698321438495384,True,0.17492823157533421,HOLD,10044.077134986224,HOLD,-0.00012465408491435515
1668506400,399.7619471062821,399.2045378876687,399.11004737375464,-0.5574092186133726,-0.651899732527454,True,-0.1630719825251746,HOLD,10058.101677936385,HOLD,0.0013962998055152553
1668507300,398.9656482225486,399.7619471062821,399.8875853999464,0.7962988837334706,0.9219371773977514,True,0.23108184413999522,BUY,10038.06661657901,HOLD,-0.0019919326726757225
1668508200,399.7420396341888,398.9656482225486,399.6998261129719,-0.7763914116401907,-0.042213521216922345,True,-0.01056019058079373,HOLD,10057.600801402454,HOLD,0.0019460106781101771
1668509100,399.5529186493021,399.7420396341888,398.5663778888171,0.18912098488669926,-0.9865407604850134,False,-0.24691116356252313,SELL,10052.842474330077,SELL,-0.0004731075697211873
