Symbol,Sequence,Price,ExchangeCode,Size,Tick,Change,DayVolume,DayTurnover,Direction,Time,RawFlags,IsETH,Scope,Date
AAPL,2307,163.17,K,100.0,2,-2.79,479556.0,78509572.0,0,2022-05-05 13:41:15.308,0,0,1,2022-05-05
AAPL,96732,163.18,P,182.0,1,-2.83,7029912.0,1150646460.0,0,2022-05-05 13:41:15.460,0,0,0,2022-05-05
AAPL,5489,163.1789,D,100.0,1,-2.961,2519598.0,412535150.0,0,2022-05-05 13:41:15.423,0,0,1,2022-05-05
AAPL,927,163.17,V,100.0,2,-2.97,163876.0,26800009.0,0,2022-05-05 13:41:15.307,0,0,1,2022-05-05
AAPL,1348,163.21,U,100.0,2,-2.89,180637.0,29524805.0,0,2022-05-05 13:41:14.365,0,0,1,2022-05-05
AAPL,5490,163.192,D,500.0,1,-2.947,2520098.0,412616750.0,0,2022-05-05 13:41:15.609,0,0,1,2022-05-05
AAPL,96734,163.192,D,500.0,1,-2.827,7030412.0,1150728050.0,0,2022-05-05 13:41:15.609,0,0,0,2022-05-05
AAPL,5491,163.2,D,100.0,1,-2.93,2520317.0,412652490.0,0,2022-05-05 13:41:15.852,0,0,1,2022-05-05
AAPL,96742,163.2,D,100.0,1,-2.81,7030631.0,1150763790.0,0,2022-05-05 13:41:15.852,0,0,0,2022-05-05
AAPL,5496,163.205,D,200.0,1,-2.934,2521120.0,412783540.0,0,2022-05-05 13:41:16.443,0,0,1,2022-05-05
AAPL,96763,163.205,D,200.0,1,-2.814,7031676.0,1150934340.0,0,2022-05-05 13:41:16.443,0,0,0,2022-05-05
AAPL,397,163.2,H,100.0,2,-2.74,51474.0,8403798.1,0,2022-05-05 13:41:16.282,0,0,1,2022-05-05
AAPL,6033,163.17,Q,100.0,2,-2.84,2138780.0,350006760.0,0,2022-05-05 13:41:15.308,0,0,1,2022-05-05
AAPL,2845,163.17,Z,100.0,2,-2.86,488453.0,79897626.0,0,2022-05-05 13:41:15.308,0,0,1,2022-05-05
AAPL,113,163.21,X,100.0,1,-2.87,22320.0,3649267.3,0,2022-05-05 13:41:05.243,0,0,1,2022-05-05
AAPL,5496,163.205,D,200.0,1,-2.934,2521183.0,412793820.0,0,2022-05-05 13:41:16.443,0,0,1,2022-05-05
AAPL,96783,163.23,Z,100.0,1,-2.78,7032249.0,1151027870.0,0,2022-05-05 13:41:17.020,0,0,0,2022-05-05
AAPL,31,163.1,B,100.0,1,-2.91,6589.0,1079301.08,0,2022-05-05 13:39:46.792,0,0,1,2022-05-05
AAPL,6035,163.23,Q,100.0,1,-2.78,2139012.0,350044630.0,0,2022-05-05 13:41:17.021,0,0,1,2022-05-05
AAPL,2307,163.17,K,100.0,2,-2.79,479609.0,78518222.0,0,2022-05-05 13:41:15.308,0,0,1,2022-05-05
AAPL,397,163.2,H,100.0,2,-2.74,51494.0,8407062.6,0,2022-05-05 13:41:16.282,0,0,1,2022-05-05
AAPL,927,163.17,V,100.0,2,-2.97,163879.0,26800499.0,0,2022-05-05 13:41:15.307,0,0,1,2022-05-05
AAPL,2846,163.23,Z,100.0,1,-2.8,488653.0,79930272.0,0,2022-05-05 13:41:17.020,0,0,1,2022-05-05
AAPL,5498,163.18,D,1500.0,2,-2.95,2522885.0,413071560.0,0,2022-05-05 13:41:17.565,0,0,1,2022-05-05
AAPL,96796,163.17,Q,100.0,2,-2.84,7034383.0,1151376100.0,0,2022-05-05 13:41:17.576,0,0,0,2022-05-05
AAPL,6038,163.17,Q,100.0,2,-2.84,2139444.0,350115120.0,0,2022-05-05 13:41:17.576,0,0,1,2022-05-05
AAPL,5499,163.1899,D,300.0,1,-2.95,2523274.0,413135040.0,0,2022-05-05 13:41:17.758,0,0,1,2022-05-05
AAPL,96799,163.1899,D,300.0,1,-2.83,7034772.0,1151439580.0,0,2022-05-05 13:41:17.758,0,0,0,2022-05-05
AAPL,930,163.21,V,100.0,1,-2.93,164279.0,26865780.0,0,2022-05-05 13:41:18.193,0,0,1,2022-05-05
AAPL,5504,163.21,D,100.0,1,-2.92,2523874.0,413232960.0,0,2022-05-05 13:41:18.193,0,0,1,2022-05-05
AAPL,96830,163.2,P,100.0,2,-2.81,7036273.0,1151684550.0,0,2022-05-05 13:41:18.598,0,0,0,2022-05-05
AAPL,6039,163.21,Q,100.0,1,-2.8,2139544.0,350131440.0,0,2022-05-05 13:41:18.193,0,0,1,2022-05-05
AAPL,3282,163.2,P,100.0,2,-2.93,717708.0,117584542.0,0,2022-05-05 13:41:18.598,0,0,1,2022-05-05
AAPL,2847,163.2,Z,100.0,2,-2.83,488753.0,79946592.0,0,2022-05-05 13:41:18.598,0,0,1,2022-05-05
AAPL,6040,163.19,Q,100.0,2,-2.82,2139644.0,350147760.0,0,2022-05-05 13:41:18.600,0,0,1,2022-05-05
AAPL,96832,163.19,Q,100.0,2,-2.82,7036373.0,1151700870.0,0,2022-05-05 13:41:18.600,0,0,0,2022-05-05
AAPL,5506,163.17,D,1000.0,2,-2.96,2525124.0,413436930.0,0,2022-05-05 13:41:19.005,0,0,1,2022-05-05
AAPL,96862,163.15,H,100.0,2,-2.86,7039424.0,1152198710.0,0,2022-05-05 13:41:19.098,0,0,0,2022-05-05
AAPL,6043,163.17,Q,100.0,2,-2.84,2140245.0,350245830.0,0,2022-05-05 13:41:18.976,0,0,1,2022-05-05
